,일시,재난일어난날
17526,2011-02-18,2011-02-18
17527,2011-02-22,2011-02-22
17528,2011-02-26,2011-02-26
17529,2011-03-03,2011-03-03
17532,2011-03-04,2011-03-04
17533,2011-03-26,2011-03-26
17534,2011-12-05,2011-12-05
17535,2011-12-10,2011-12-10
17536,2011-12-13,2011-12-13
17537,2011-12-16,2011-12-16
17538,2011-12-17,2011-12-17
17552,2011-12-18,2011-12-18
17555,2011-12-19,2011-12-19
17563,2011-12-20,2011-12-20
17569,2011-12-23,2011-12-23
17589,2011-12-24,2011-12-24
17592,2011-12-25,2011-12-25
17606,2011-12-26,2011-12-26
17621,2011-12-27,2011-12-27
17641,2011-12-28,2011-12-28
17645,2011-12-30,2011-12-30
17652,2011-12-31,2011-12-31
17660,2012-01-02,2012-01-02
17674,2012-01-03,2012-01-03
17679,2012-01-04,2012-01-04
17681,2012-01-05,2012-01-05
17700,2012-01-06,2012-01-06
17711,2012-01-07,2012-01-07
17733,2012-01-08,2012-01-08
17748,2012-01-10,2012-01-10
17749,2012-01-11,2012-01-11
17755,2012-01-12,2012-01-12
17778,2012-01-13,2012-01-13
17779,2012-01-14,2012-01-14
17788,2012-01-15,2012-01-15
17790,2012-01-16,2012-01-16
17793,2012-01-23,2012-01-23
17810,2012-01-24,2012-01-24
17834,2012-01-25,2012-01-25
17841,2012-01-26,2012-01-26
17867,2012-01-27,2012-01-27
17871,2012-01-28,2012-01-28
17874,2012-01-29,2012-01-29
17878,2012-01-30,2012-01-30
17888,2012-01-31,2012-01-31
17907,2012-02-01,2012-02-01
17925,2012-02-02,2012-02-02
17962,2012-02-03,2012-02-03
17997,2012-02-04,2012-02-04
18006,2012-02-06,2012-02-06
18008,2012-02-08,2012-02-08
18035,2012-02-09,2012-02-09
18055,2012-02-10,2012-02-10
18061,2012-02-11,2012-02-11
18073,2012-02-12,2012-02-12
18078,2012-02-16,2012-02-16
18079,2012-02-17,2012-02-17
18084,2012-02-18,2012-02-18
18101,2012-02-19,2012-02-19
18117,2012-02-20,2012-02-20
18130,2012-02-22,2012-02-22
18131,2012-02-27,2012-02-27
18134,2012-02-28,2012-02-28
18135,2012-02-29,2012-02-29
18136,2012-03-19,2012-03-19
18137,2012-03-20,2012-03-20
18138,2012-03-26,2012-03-26
18139,2012-12-05,2012-12-05
18140,2012-12-06,2012-12-06
18151,2012-12-07,2012-12-07
18159,2012-12-08,2012-12-08
18168,2012-12-09,2012-12-09
18193,2012-12-10,2012-12-10
18219,2012-12-11,2012-12-11
18245,2012-12-12,2012-12-12
18269,2012-12-13,2012-12-13
18288,2012-12-18,2012-12-18
18289,2012-12-19,2012-12-19
18301,2012-12-20,2012-12-20
18309,2012-12-23,2012-12-23
18310,2012-12-24,2012-12-24
18342,2012-12-25,2012-12-25
18343,2012-12-26,2012-12-26
18378,2012-12-27,2012-12-27
18412,2012-12-30,2012-12-30
18413,2012-12-31,2012-12-31
18436,2013-01-01,2013-01-01
18456,2013-01-02,2013-01-02
18470,2013-01-03,2013-01-03
18510,2013-01-04,2013-01-04
18553,2013-01-05,2013-01-05
18593,2013-01-06,2013-01-06
18608,2013-01-07,2013-01-07
18633,2013-01-08,2013-01-08
18652,2013-01-09,2013-01-09
18667,2013-01-10,2013-01-10
18698,2013-01-11,2013-01-11
18733,2013-01-12,2013-01-12
18735,2013-01-13,2013-01-13
18736,2013-01-14,2013-01-14
18744,2013-01-15,2013-01-15
18754,2013-01-16,2013-01-16
18757,2013-01-17,2013-01-17
18758,2013-01-18,2013-01-18
18779,2013-01-19,2013-01-19
18781,2013-01-20,2013-01-20
18783,2013-01-25,2013-01-25
18786,2013-01-26,2013-01-26
18800,2013-01-27,2013-01-27
18815,2013-01-28,2013-01-28
18832,2013-02-03,2013-02-03
18833,2013-02-05,2013-02-05
18834,2013-02-07,2013-02-07
18839,2013-02-08,2013-02-08
18881,2013-02-09,2013-02-09
18906,2013-02-10,2013-02-10
18909,2013-02-11,2013-02-11
18923,2013-02-13,2013-02-13
18930,2013-02-16,2013-02-16
18937,2013-02-20,2013-02-20
18941,2013-02-25,2013-02-25
18942,2013-03-26,2013-03-26
18943,2013-11-28,2013-11-28
18944,2013-11-29,2013-11-29
18945,2013-12-12,2013-12-12
18946,2013-12-13,2013-12-13
18952,2013-12-14,2013-12-14
18958,2013-12-15,2013-12-15
18965,2013-12-16,2013-12-16
18973,2013-12-17,2013-12-17
18974,2013-12-20,2013-12-20
18975,2013-12-21,2013-12-21
18976,2013-12-22,2013-12-22
18978,2013-12-23,2013-12-23
18979,2013-12-24,2013-12-24
18982,2013-12-25,2013-12-25
18984,2013-12-28,2013-12-28
18995,2013-12-29,2013-12-29
19004,2014-01-06,2014-01-06
19005,2014-01-07,2014-01-07
19006,2014-01-09,2014-01-09
19009,2014-01-10,2014-01-10
19028,2014-01-11,2014-01-11
19029,2014-01-13,2014-01-13
19045,2014-01-14,2014-01-14
19064,2014-01-15,2014-01-15
19078,2014-01-16,2014-01-16
19082,2014-01-17,2014-01-17
19083,2014-01-19,2014-01-19
19099,2014-01-21,2014-01-21
19100,2014-01-22,2014-01-22
19112,2014-01-23,2014-01-23
19122,2014-01-24,2014-01-24
19123,2014-01-27,2014-01-27
19125,2014-01-29,2014-01-29
19127,2014-02-04,2014-02-04
19130,2014-02-05,2014-02-05
19138,2014-02-06,2014-02-06
19139,2014-02-11,2014-02-11
19140,2014-02-12,2014-02-12
19142,2014-02-15,2014-02-15
19143,2014-02-16,2014-02-16
19144,2014-02-20,2014-02-20
19145,2014-02-21,2014-02-21
19146,2014-02-22,2014-02-22
19147,2014-02-23,2014-02-23
19148,2014-03-03,2014-03-03
19149,2014-03-06,2014-03-06
19151,2014-03-10,2014-03-10
19152,2014-12-02,2014-12-02
19153,2014-12-04,2014-12-04
19154,2014-12-05,2014-12-05
19157,2014-12-06,2014-12-06
19163,2014-12-07,2014-12-07
19165,2014-12-09,2014-12-09
19171,2014-12-12,2014-12-12
19172,2014-12-14,2014-12-14
19179,2014-12-17,2014-12-17
19191,2014-12-18,2014-12-18
19209,2014-12-19,2014-12-19
19230,2014-12-21,2014-12-21
19242,2014-12-22,2014-12-22
19256,2014-12-23,2014-12-23
19267,2014-12-26,2014-12-26
19278,2014-12-27,2014-12-27
19287,2014-12-28,2014-12-28
19289,2015-01-01,2015-01-01
19294,2015-01-02,2015-01-02
19302,2015-01-03,2015-01-03
19322,2015-01-07,2015-01-07
19328,2015-01-08,2015-01-08
19342,2015-01-09,2015-01-09
19349,2015-01-10,2015-01-10
19352,2015-01-12,2015-01-12
19357,2015-01-13,2015-01-13
19363,2015-01-18,2015-01-18
19370,2015-01-20,2015-01-20
19373,2015-01-23,2015-01-23
19374,2015-01-28,2015-01-28
19376,2015-01-29,2015-01-29
19377,2015-01-31,2015-01-31
19385,2015-02-01,2015-02-01
19394,2015-02-02,2015-02-02
19396,2015-02-03,2015-02-03
19397,2015-02-04,2015-02-04
19398,2015-02-08,2015-02-08
19401,2015-02-09,2015-02-09
19426,2015-02-13,2015-02-13
19429,2015-02-20,2015-02-20
19430,2015-03-05,2015-03-05
19431,2015-03-06,2015-03-06
19432,2015-03-10,2015-03-10
19433,2015-12-18,2015-12-18
19435,2015-12-19,2015-12-19
19436,2015-12-28,2015-12-28
19443,2015-12-29,2015-12-29
19453,2015-12-30,2015-12-30
19455,2016-01-08,2016-01-08
19456,2016-01-09,2016-01-09
19459,2016-01-11,2016-01-11
19460,2016-01-12,2016-01-12
19473,2016-01-13,2016-01-13
19476,2016-01-14,2016-01-14
19480,2016-01-15,2016-01-15
19482,2016-01-16,2016-01-16
19485,2016-01-19,2016-01-19
19506,2016-01-20,2016-01-20
19536,2016-01-21,2016-01-21
19548,2016-01-22,2016-01-22
19573,2016-01-23,2016-01-23
19577,2016-01-24,2016-01-24
19625,2016-01-25,2016-01-25
19662,2016-01-26,2016-01-26
19669,2016-01-28,2016-01-28
19673,2016-02-01,2016-02-01
19679,2016-02-02,2016-02-02
19697,2016-02-03,2016-02-03
19714,2016-02-04,2016-02-04
19715,2016-02-05,2016-02-05
19718,2016-02-06,2016-02-06
19721,2016-02-07,2016-02-07
19738,2016-02-08,2016-02-08
19740,2016-02-10,2016-02-10
19742,2016-02-15,2016-02-15
19743,2016-02-17,2016-02-17
19746,2016-03-01,2016-03-01
19754,2016-12-10,2016-12-10
19755,2016-12-11,2016-12-11
19756,2016-12-15,2016-12-15
19757,2016-12-16,2016-12-16
19767,2016-12-28,2016-12-28
19769,2016-12-30,2016-12-30
19775,2017-01-11,2017-01-11
19777,2017-01-13,2017-01-13
19778,2017-01-14,2017-01-14
19786,2017-01-15,2017-01-15
19810,2017-01-16,2017-01-16
19830,2017-01-17,2017-01-17
19841,2017-01-19,2017-01-19
19842,2017-01-21,2017-01-21
19860,2017-01-22,2017-01-22
19862,2017-01-23,2017-01-23
19883,2017-01-24,2017-01-24
19908,2017-01-25,2017-01-25
19933,2017-01-26,2017-01-26
19954,2017-01-28,2017-01-28
19964,2017-01-31,2017-01-31
19981,2017-02-01,2017-02-01
19985,2017-02-02,2017-02-02
19995,2017-02-07,2017-02-07
19996,2017-02-08,2017-02-08
19997,2017-02-10,2017-02-10
20000,2017-02-11,2017-02-11
20009,2017-02-12,2017-02-12
20013,2017-02-13,2017-02-13
20018,2017-02-14,2017-02-14
20019,2017-02-21,2017-02-21
20020,2017-11-27,2017-11-27
20021,2017-12-01,2017-12-01
20023,2017-12-05,2017-12-05
20024,2017-12-06,2017-12-06
20025,2017-12-08,2017-12-08
20027,2017-12-09,2017-12-09
20029,2017-12-11,2017-12-11
20030,2017-12-12,2017-12-12
20048,2017-12-13,2017-12-13
20069,2017-12-14,2017-12-14
20099,2017-12-15,2017-12-15
20106,2017-12-17,2017-12-17
20121,2017-12-18,2017-12-18
20124,2017-12-19,2017-12-19
20127,2017-12-20,2017-12-20
20143,2017-12-21,2017-12-21
20144,2017-12-27,2017-12-27
20154,2017-12-28,2017-12-28
20162,2017-12-30,2017-12-30
20163,2018-01-01,2018-01-01
20167,2018-01-02,2018-01-02
20168,2018-01-03,2018-01-03
20174,2018-01-04,2018-01-04
20181,2018-01-05,2018-01-05
20182,2018-01-06,2018-01-06
20187,2018-01-07,2018-01-07
20193,2018-01-10,2018-01-10
20201,2018-01-11,2018-01-11
20228,2018-01-12,2018-01-12
20270,2018-01-13,2018-01-13
20279,2018-01-14,2018-01-14
20288,2018-01-21,2018-01-21
20289,2018-01-23,2018-01-23
20299,2018-01-24,2018-01-24
20342,2018-01-25,2018-01-25
20388,2018-01-26,2018-01-26
20436,2018-01-27,2018-01-27
20482,2018-01-28,2018-01-28
20483,2018-01-29,2018-01-29
20497,2018-01-30,2018-01-30
20524,2018-02-01,2018-02-01
20535,2018-02-02,2018-02-02
20553,2018-02-03,2018-02-03
20557,2018-02-04,2018-02-04
20577,2018-02-05,2018-02-05
20604,2018-02-06,2018-02-06
20637,2018-02-07,2018-02-07
20677,2018-02-08,2018-02-08
20709,2018-02-09,2018-02-09
20714,2018-02-11,2018-02-11
20721,2018-02-12,2018-02-12
20739,2018-02-13,2018-02-13
20751,2018-02-16,2018-02-16
20752,2018-02-21,2018-02-21
20753,2018-02-22,2018-02-22
20754,2018-03-02,2018-03-02
20756,2018-03-06,2018-03-06
20757,2018-03-17,2018-03-17
20758,2018-12-08,2018-12-08
20766,2018-12-09,2018-12-09
20782,2018-12-10,2018-12-10
20794,2018-12-12,2018-12-12
20795,2018-12-13,2018-12-13
20799,2018-12-14,2018-12-14
20809,2018-12-15,2018-12-15
20825,2018-12-27,2018-12-27
20827,2018-12-28,2018-12-28
20848,2018-12-29,2018-12-29
20863,2018-12-30,2018-12-30
20881,2018-12-31,2018-12-31
20907,2019-01-01,2019-01-01
20917,2019-01-02,2019-01-02
20928,2019-01-03,2019-01-03
20944,2019-01-04,2019-01-04
20954,2019-01-06,2019-01-06
20958,2019-01-07,2019-01-07
20966,2019-01-08,2019-01-08
20968,2019-01-09,2019-01-09
20984,2019-01-11,2019-01-11
20985,2019-01-13,2019-01-13
20986,2019-01-14,2019-01-14
20987,2019-01-16,2019-01-16
20999,2019-01-18,2019-01-18
21001,2019-01-21,2019-01-21
21004,2019-01-22,2019-01-22
21005,2019-01-24,2019-01-24
21008,2019-01-25,2019-01-25
21010,2019-01-26,2019-01-26
21017,2019-01-27,2019-01-27
21034,2019-01-29,2019-01-29
21039,2019-02-01,2019-02-01
21046,2019-02-02,2019-02-02
21047,2019-02-08,2019-02-08
21049,2019-02-09,2019-02-09
21050,2019-02-10,2019-02-10
21055,2019-02-11,2019-02-11
21056,2019-02-13,2019-02-13
21058,2019-02-14,2019-02-14
21060,2019-02-17,2019-02-17
21061,2019-02-18,2019-02-18
21063,2019-02-21,2019-02-21
21064,2019-12-06,2019-12-06
21074,2019-12-08,2019-12-08
21075,2019-12-31,2019-12-31
21077,2020-01-05,2020-01-05
21078,2020-01-14,2020-01-14
21079,2020-01-15,2020-01-15
21080,2020-01-16,2020-01-16
21081,2020-01-17,2020-01-17
21082,2020-01-21,2020-01-21
21083,2020-02-04,2020-02-04
21085,2020-02-05,2020-02-05
21087,2020-02-06,2020-02-06
21107,2020-02-07,2020-02-07
21108,2020-02-09,2020-02-09
21109,2020-02-11,2020-02-11
21110,2020-02-18,2020-02-18
21114,2020-12-01,2020-12-01
21115,2020-12-04,2020-12-04
21116,2020-12-09,2020-12-09
21117,2020-12-14,2020-12-14
21123,2020-12-15,2020-12-15
21136,2020-12-16,2020-12-16
21151,2020-12-17,2020-12-17
21168,2020-12-19,2020-12-19
21177,2020-12-20,2020-12-20
21187,2020-12-21,2020-12-21
21194,2020-12-22,2020-12-22
21195,2020-12-30,2020-12-30
21200,2020-12-31,2020-12-31
21230,2021-01-01,2021-01-01
21247,2021-01-02,2021-01-02
21251,2021-01-03,2021-01-03
21260,2021-01-04,2021-01-04
21272,2021-01-05,2021-01-05
21273,2021-01-06,2021-01-06
21298,2021-01-07,2021-01-07
21326,2021-01-08,2021-01-08
21383,2021-01-09,2021-01-09
21433,2021-01-10,2021-01-10
21476,2021-01-11,2021-01-11
21497,2021-01-12,2021-01-12
21513,2021-01-13,2021-01-13
21514,2021-01-17,2021-01-17
21521,2021-01-19,2021-01-19
21543,2021-01-20,2021-01-20
21559,2021-01-29,2021-01-29
21566,2021-01-30,2021-01-30
21571,2021-01-31,2021-01-31
21573,2021-02-03,2021-02-03
21578,2021-02-04,2021-02-04
21580,2021-02-16,2021-02-16
21581,2021-02-17,2021-02-17
21584,2021-02-18,2021-02-18
21593,2021-02-19,2021-02-19
21595,2021-03-03,2021-03-03
21596,2021-12-18,2021-12-18
21612,2021-12-25,2021-12-25
21617,2021-12-26,2021-12-26
21647,2021-12-27,2021-12-27
21672,2021-12-28,2021-12-28
21676,2021-12-31,2021-12-31
21678,2022-01-01,2022-01-01
21699,2022-01-03,2022-01-03
21708,2022-01-05,2022-01-05
21713,2022-01-06,2022-01-06
21714,2022-01-07,2022-01-07
21720,2022-01-08,2022-01-08
21723,2022-01-10,2022-01-10
21724,2022-01-12,2022-01-12
21740,2022-01-13,2022-01-13
21758,2022-01-14,2022-01-14
21776,2022-01-15,2022-01-15
21778,2022-01-17,2022-01-17
21786,2022-01-18,2022-01-18
21803,2022-01-19,2022-01-19
21817,2022-01-20,2022-01-20
21832,2022-01-21,2022-01-21
21850,2022-01-22,2022-01-22
21853,2022-01-27,2022-01-27
21854,2022-01-28,2022-01-28
21856,2022-01-29,2022-01-29
21859,2022-01-30,2022-01-30
21866,2022-01-31,2022-01-31
21876,2022-02-02,2022-02-02
21877,2022-02-03,2022-02-03
21879,2022-02-04,2022-02-04
21885,2022-02-05,2022-02-05
21892,2022-02-06,2022-02-06
21902,2022-02-07,2022-02-07
21909,2022-02-08,2022-02-08
21910,2022-02-09,2022-02-09
21913,2022-02-11,2022-02-11
21914,2022-02-16,2022-02-16
21918,2022-02-17,2022-02-17
21928,2022-02-18,2022-02-18
21950,2022-02-20,2022-02-20
21952,2022-02-21,2022-02-21
21960,2022-02-22,2022-02-22
21963,2022-02-23,2022-02-23
21972,2022-02-24,2022-02-24
